PID,POS,X,Y,block
35,34,-129.446754455566,53.3530104718591,39
35,35,-129.43920135498,53.3493216884684,39
35,36,-129.437141418457,53.3435829464747,39
35,37,-129.438858032227,53.3359984240139,39
35,38,-129.441261291504,53.3331282529316,39
35,39,-129.442291259766,53.3282075103003,39
35,40,-129.44881439209,53.3230811331348,39
35,41,-129.460487365723,53.3321031450244,39
35,42,-129.460144042969,53.3362034288437,39
35,43,-129.46460723877,53.3435829464747,39
35,44,-129.467353820801,53.3357934181987,39
35,45,-129.462890625,53.3282075103003,39
35,46,-129.462890625,53.3230811331348,39
35,47,-129.467697143555,53.3292327118233,39
35,48,-129.469413757324,53.3362034288437,39
35,49,-129.468727111816,53.3456325858609,39
35,50,-129.465980529785,53.3460425019149,39
35,51,-129.465293884277,53.3601821924692,39
35,52,-129.467353820801,53.3616163917749,39
35,53,-129.471817016602,53.3675575603938,39
35,54,-129.475936889648,53.3624359125629,39
35,55,-129.473533630371,53.3601821924692,39
35,56,-129.473876953125,53.3468623221994,39
35,57,-129.481086730957,53.3509611871619,39
35,58,-129.481086730957,53.344197848636,39
35,59,-129.479370117188,53.3405083026515,39
35,60,-129.481430053711,53.3359984240139,39
35,61,-129.478340148926,53.332923233321,39
35,62,-129.479713439941,53.3277974227929,39
35,63,-129.475593566895,53.3239013948717,39
35,64,-129.475593566895,53.3195948448381,39
35,65,-129.466323852539,53.3103650597812,39
35,66,-129.467010498047,53.3056468433287,39
35,67,-129.400405883789,53.3056468433287,39
35,68,-129.400405883789,53.3056468433287,39
35,69,-129.396286010742,53.3074931640374,39
35,70,-129.391479492188,53.3081085865315,39
35,71,-129.391822814941,53.3101599307776,39
35,72,-129.386672973633,53.3138521020408,39
35,73,-129.385299682617,53.3206202533147,39
35,74,-129.386329650879,53.3243115198272,39
35,75,-129.393196105957,53.317543953969,39
35,76,-129.394912719727,53.321645637153,39
35,77,-129.399032592773,53.3230811331348,39
35,78,-129.399032592773,53.318569411723,39
35,79,-129.403839111328,53.3161082717196,39
35,80,-129.405555725098,53.3200050111854,39
35,81,-129.401779174805,53.3230811331348,39
35,82,-129.397659301758,53.3253368149697,39
35,83,-129.395599365234,53.3230811331348,39
35,84,-129.392166137695,53.3247216408407,39
35,85,-129.396629333496,53.3273873313438,39
35,86,-129.396286010742,53.3335382891966,39
35,87,-129.399719238281,53.3384584169373,39
35,88,-129.401092529297,53.3409182679704,39
35,89,-129.405212402344,53.3390733929976,39
35,90,-129.40315246582,53.3450177043905,39
35,91,-129.410705566406,53.3419431640244,39
35,92,-129.423065185547,53.3507562532735,39
35,93,-129.43920135498,53.3554694834497,39
35,94,-129.451560974121,53.360591968625,39
35,95,-129.454650878906,53.3646895134594,39
35,96,-129.45671081543,53.3683769669131,39
35,97,-129.461517333984,53.3683769669131,39
35,98,-129.466323852539,53.3653041111989,39
35,99,-129.465980529785,53.3630505428103,39
35,100,-129.45671081543,53.3579283531753,39
35,101,-129.446754455566,53.3530104718591,39
35,102,-129.43920135498,53.3493216884684,39
35,103,-129.437141418457,53.3435829464747,39
35,104,-129.438858032227,53.3359984240139,39
35,105,-129.441261291504,53.3331282529316,39
35,106,-129.442291259766,53.3282075103003,39
35,107,-129.44881439209,53.3230811331348,39
35,108,-129.460487365723,53.3321031450244,39
35,109,-129.460144042969,53.3362034288437,39
35,110,-129.46460723877,53.3435829464747,39
35,111,-129.467353820801,53.3357934181987,39
35,112,-129.462890625,53.3282075103003,39
35,113,-129.462890625,53.3230811331348,39
35,114,-129.467697143555,53.3292327118233,39
35,115,-129.469413757324,53.3362034288437,39
35,116,-129.468727111816,53.3456325858609,39
35,117,-129.465980529785,53.3460425019149,39
35,118,-129.465293884277,53.3601821924692,39
35,119,-129.467353820801,53.3616163917749,39
35,120,-129.471817016602,53.3675575603938,39
35,121,-129.475936889648,53.3624359125629,39
35,122,-129.473533630371,53.3601821924692,39
35,123,-129.473876953125,53.3468623221994,39
35,124,-129.481086730957,53.3509611871619,39
35,125,-129.481086730957,53.344197848636,39
35,126,-129.479370117188,53.3405083026515,39
35,127,-129.481430053711,53.3359984240139,39
35,128,-129.478340148926,53.332923233321,39
35,129,-129.479713439941,53.3277974227929,39
35,130,-129.475593566895,53.3239013948717,39
35,131,-129.475593566895,53.3195948448381,39
35,132,-129.466323852539,53.3103650597812,39
35,133,-129.467010498047,53.3056468433287,39
35,134,-129.400405883789,53.3056468433287,39
36,1,-129.388732910156,53.3947943777507,42
36,2,-129.387359619141,53.4121922421111,42
36,3,-129.39697265625,53.4199678098289,42
36,4,-129.402122497559,53.4216045903009,42
36,5,-129.406585693359,53.426105411721,42
36,6,-129.44091796875,53.4267191231794,42
36,7,-129.427185058594,53.422013775574,42
36,8,-129.430274963379,53.4195586048659,42
36,9,-129.42066192627,53.4140339524231,42
36,10,-129.420318603516,53.4103504520476,42
36,11,-129.408645629883,53.4101458037842,42
36,12,-129.409332275391,53.4074852867602,42
36,13,-129.388732910156,53.3947943777507,42
36,14,-129.388732910156,53.3947943777507,42
36,15,-129.387359619141,53.4121922421111,42
36,16,-129.39697265625,53.4199678098289,42
36,17,-129.402122497559,53.4216045903009,42
36,18,-129.406585693359,53.426105411721,42
36,19,-129.44091796875,53.4267191231794,42
